44.3128479, -68.2148894
44.3128938, -68.2150087
44.3129248, -68.2151126
44.3130117, -68.2150639
44.3131736, -68.2149928
44.3133308, -68.2150295
44.3134128, -68.2150318
44.3135511, -68.2150960
44.3136759, -68.2151287
44.3137401, -68.2150084
44.3139579, -68.2151448
44.3139824, -68.2152742
44.3141125, -68.2153538
44.3142745, -68.2152465
44.3144167, -68.2151646
44.3146425, -68.2151980
44.3147917, -68.2151564
44.3149932, -68.2152358
44.3151342, -68.2152252
44.3152797, -68.2151522
44.3153406, -68.2149539
44.3154514, -68.2148015
44.3155194, -68.2145353
44.3155920, -68.2145113
44.3157961, -68.2146458
44.3159747, -68.2147474
44.3160529, -68.2149774
44.3161889, -68.2152185
44.3162686, -68.2155070
44.3164208, -68.2156476
44.3165220, -68.2158515
44.3166563, -68.2160520
44.3166849, -68.2162420
44.3168438, -68.2163739
44.3169600, -68.2162936
44.3171758, -68.2163218
44.3173704, -68.2164041
44.3175778, -68.2163791
44.3177357, -68.2163786
44.3179190, -68.2164428
44.3180517, -68.2165236
44.3182534, -68.2166661
44.3183737, -68.2168357
44.3184675, -68.2169959
44.3185979, -68.2172027
44.3188012, -68.2172712
44.3190047, -68.2173641
44.3191731, -68.2173652
44.3193576, -68.2174418
44.3195805, -68.2174492
44.3197627, -68.2177652
44.3198818, -68.2178177
44.3199804, -68.2178697
44.3201757, -68.2178539
44.3203836, -68.2178615
44.3204896, -68.2179300
44.3206763, -68.2180128
44.3207900, -68.2180955
44.3209157, -68.2180661
44.3210426, -68.2180027
44.3211182, -68.2179445
44.3213314, -68.2179518
44.3213849, -68.2180248
44.3215280, -68.2181260
44.3217309, -68.2182131
44.3218889, -68.2182483
44.3219786, -68.2182533
44.3220763, -68.2183688
44.3222840, -68.2185004
44.3224039, -68.2185546
44.3225758, -68.2186221
44.3227302, -68.2187959
44.3228498, -68.2188367
44.3229433, -68.2189223
44.3230070, -68.2189865
44.3231176, -68.2191008
44.3232518, -68.2190893
44.3233943, -68.2191330
